brawler,gadget,category,reason
8bit,CHEAT CARTRIDGE,PLACEMENT,teleport to specific booster location
8bit,EXTRA CREDITS,IN_COMBAT,fires projectiles at targets
alli,FEED THE GATORS,IN_COMBAT,heals only if attack lands
alli,COLD-BLOODED,IN_COMBAT,requires enemy visible
amber,FIRE STARTERS,IN_COMBAT,mobility buff tied to ignition mechanic
amber,DANCING FLAMES,ALWAYS,passive orbiting damage
angelo,STINGING FLIGHT,IN_COMBAT,needs enemies to drain health
angelo,MASTER FLETCHER,ALWAYS,next attack pierces persist
ash,CHILL PILL,LOW_HP,heals based on rage recovery
ash,ROTTEN BANANA,IN_COMBAT,rage trade for combat actions
barley,STICKY SYRUP MIXER,PLACEMENT,puddle positioning matters
barley,HERBAL TONIC,LOW_HP,heals allies
bea,HONEY MOLASSES,PLACEMENT,beehive placement slows
bea,RATTLED HIVE,IN_COMBAT,needs enemies for damage
belle,NEST EGG,PLACEMENT,trap placement for area denial
belle,REVERSE POLARITY,ALWAYS,bouncing attack persists
berry,FRIENDSHIP IS GREAT,IN_COMBAT,needs enemies for knockback
berry,HEALTHY ADDITIVES,ALWAYS,area duration buff persists
bibi,VITAMIN BOOSTER,LOW_HP,heals self
bibi,EXTRA STICKY,IN_COMBAT,needs enemies to hit
bo,SUPER TOTEM,PLACEMENT,totem positioning
bo,TRIPWIRE,IN_COMBAT,triggers mines against enemies
bolt,OIL CHANGE,ALWAYS,shield from speed no waste
bolt,BOUNCY BALL,PLACEMENT,targeted location jump
bonnie,SUGAR RUSH,ALWAYS,pure movement speed buff
bonnie,CRASH TEST,IN_COMBAT,needs enemies nearby
brock,ROCKET LACES,PLACEMENT,targeted area knockback
brock,ROCKET FUEL,IN_COMBAT,needs enemies or targets
bull,T-BONE MISSILE,IN_COMBAT,heals only on hit
bull,STOMPER,IN_COMBAT,needs enemies to slow
buster,UTILITY BELT,LOW_HP,heals self and allies
buster,SLO-MO REPLAY,IN_COMBAT,pulls enemies on next hit
buzz,RESERVE BUOY,IN_COMBAT,trade-off needs Super usage
buzz,X-RAY-SHADES,ALWAYS,vision buff no waste
byron,SHOT IN THE ARM,LOW_HP,heals self
byron,BOOSTER SHOTS,IN_COMBAT,needs enemies to hit with darts
carl,HEAT EJECTOR,IN_COMBAT,pickaxe ignites enemies on hit
carl,FLYING HOOK,ALWAYS,pull mechanic persists
charlie,SPIDERS,IN_COMBAT,spiders seek enemies
charlie,PERSONAL SPACE,LOW_HP,heals self percent health
chester,SPICY DICE,UNCLEAR,new random Super unpredictable
chester,CANDY BEANS,UNCLEAR,random buff outcome unclear
chuck,REROUTING,IN_COMBAT,Super recharge combat-focused
chuck,GHOST TRAIN,ALWAYS,wall-pass on Super persists
